Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes,Genre,Style,Votes,Comments,Weighted Rating
USM025,Simon & Shaker,Freshness Part Two,T.U.S.O.M. Recordings,"12""",4.31,2005,610914,Uncategorized,2024-12-10 11:00:44,,,,Electronic,"House, Progressive House",32,0,4.252440830995792
OPSM012,Format: B,Split Pot,Opossum Recordings,"12""",4.29,2007,1161968,Uncategorized,2024-12-10 10:41:55,,,,Electronic,"Tech House, Techno",48,0,4.25181093912591
PCULT007,Barem,Suki EP,Phonocult,"12"", EP",4.28,2007,889590,Uncategorized,2024-12-10 11:58:27,,,,Electronic,"Techno, Minimal",58,0,4.249059419802867
SAW40,Andry Nalin And Gregor Wagner Pres. Bush II Bush,Pianotrack,Saw Recordings,"12""",4.31,2005,472129,tech house,2024-12-09 08:30:20,,,,Electronic,"House, Tech House",29,0,4.248425075018755
09,Rino Cerrone & Flavio Diaz,Campi Flegrei EP,Loose Records,"12"", EP",4.6,2009,1685630,minimal,2024-12-08 03:05:19,,,,Electronic,"Minimal, Tech House",5,0,4.246962011884551
STP062,DJ Dandi & Ugo,Frigida,Stereoseven Plus,"12""",4.6,2008,3848551,Techno,2024-12-09 12:53:42,,,,Electronic,Techno,5,0,4.246962011884551
TNR 023,Raul Rincon & Coronabros Featuring Jannet De Lara,La Verdad,Tenor Recordings,"12""",4.6,2007,996478,Uncategorized,2024-12-10 11:26:49,,,,Electronic,House,5,0,4.246962011884551
TR005,Kruko,No Hate Allowed,Traffica Records,"12""",4.6,2007,1076717,Uncategorized,2024-12-10 10:24:29,,,,Electronic,"Techno, Minimal",5,0,4.246962011884551
OX017,Sander van Doorn,Grasshopper,Oxygen Recordings,"12""",4.35,2007,899141,Techno,2024-12-09 03:43:29,,,,Electronic,"Trance, Techno",17,0,4.246525104058272
mission 12,Daniel Steinberg,Pay For Me / I Like To Be - Remixes,Style Rockets,"12""",4.35,2008,1576116,minimal,2024-12-08 11:01:40,,,,Electronic,"Techno, Minimal",17,0,4.246525104058272
Stigmata 13,André Walter,2nd Key Of Henoch,Stigmata,"12""",4.33,2009,1808316,Uncategorized,2025-01-22 03:55:24,,,,Electronic,Techno,21,0,4.246350806451614
GBR 031,Rick Pier O'Neil,Another World,Garbage Records,"12""",4.44,2006,832292,progressive house,2024-12-08 03:45:25,,,,Electronic,Progressive House,9,0,4.245751227208976
IOM 010,Oliver Klein,Re-Kraft,iO Music,"12""",4.44,2007,1022167,minimal,2024-12-08 07:57:04,,,,Electronic,"Techno, Minimal",9,0,4.245751227208976
KDB001-6,Access Denied (3),High School Orchestra,KDB Records,"12""",4.44,2008,1454672,minimal,2024-12-07 09:33:36,,,,Electronic,"Techno, Tech House, Minimal",9,0,4.245751227208976
RRY17,Luca Ortega & Mikael Stavöstrand,Join The Ortega & Stavöstrand Funk Revolution,Rrygular,"12""",4.44,2007,1051484,Uncategorized,2024-12-10 13:31:59,,,,Electronic,"Techno, Tech House, Minimal",9,0,4.245751227208976
VENMX 982 N,Various,Ibiza Summer 08' EP3,Vendetta Records,"12"", EP",4.44,2008,1623062,minimal,2024-12-08 05:55:57,,,,Electronic,"Tech House, Minimal",9,0,4.245751227208976
YP 209,Diva (12),Sunshine / Touch The Sky,Yellow Productions,"12""",4.44,2005,520419,Uncategorized,2024-12-07 09:25:15,,,,Electronic,House,9,0,4.245751227208976
RSP RED 022,Kreon & Lemos,Lookooshere Remixed,Resopal Red,"12""",4.38,2008,1314632,Uncategorized,2024-12-10 11:05:07,,,,Electronic,"Deep House, Tech House",13,0,4.2456399342891284
SUB 175,Jerry Ropero & Denis The Menace Pres. Sabor Ft. Jaqueline (8),Coracao,Subliminal,"12""",4.38,2006,761994,House,2024-12-08 05:33:29,,,,Electronic,House,13,0,4.2456399342891284
LGT 5120,Funkerman,Speed Up,Legato Records,"12""",4.31,2007,1034583,House,2024-12-09 02:28:48,,,,Electronic,House,26,0,4.2438069556451605
minus9,Steve Bug Vs Richie Hawtin,Low Blow,M_nus,"12"", S/Sided",4.25,2002,35674,minimal,2024-12-08 07:50:05,,,,Electronic,"Techno, Minimal Techno",199,0,4.241513043313645
kassette 003,Channel X (2),Freaky Pilot,Kassette Records,"12""",4.36,2007,1157920,minimal,2024-12-09 04:27:28,,,,Electronic,"Techno, Minimal, Tech House",14,0,4.240438508064516
KKC012,Antoine Clamaran,Keep On Tryin',Kingdom Kome Cuts,"12""",4.36,2006,672990,Uncategorized,2024-12-09 03:21:03,,,,Electronic,House,14,0,4.240438508064516
VENMX 696,Gabriel & Dresden feat. Molly Bancroft,Tracking Treasure Down,Vendetta Records,"12""",4.36,2006,671017,Uncategorized,2024-12-10 10:39:52,,,,Electronic,Progressive House,14,0,4.240438508064516
1605-V017,Various,1605 Remixed At 16:05,1605 Music Therapy,"12""",4.33,2009,2098623,Uncategorized,2024-12-10 11:49:49,,,,Electronic,"Techno, Minimal",18,0,4.238508694556452
FLR100,Soul Of Man / Lee Coombs,10 Years Of Finger Lickin' Album Sampler,Finger Lickin' Records,"12"", Smplr",4.33,2008,1533197,House,2024-12-09 08:45:14,,,,Electronic,"House, Breaks",18,0,4.238508694556452
SPC-26,Broker/Dealer,Opening Night / After Hours,Spectral Sound,"12""",4.27,2004,345988,minimal,2024-12-08 06:03:00,,,,Electronic,"Minimal, Tech House",51,0,4.237881203473945
FUMA 023,Paul Ritch,Back To The Time,Fumakilla,"12""",4.29,2007,1030526,Uncategorized,2024-12-10 11:47:03,,,,Electronic,"Tech House, Minimal",31,0,4.237383960573477
GOF 01,Buster Maniac,Bell Sweet Hell EP,Go Freitag,"12"", EP",4.4,2007,911496,Techno,2024-12-07 09:40:50,,,,Electronic,Techno,10,0,4.237178259408602
mylo014-6,Flat Mode,Wonder Why,Mylo Recordings,"12""",4.4,2007,1010596,Uncategorized,2024-12-10 11:13:30,,,,Electronic,"House, Electro",10,0,4.237178259408602
NST007,Desonanz,Grenzfrequenz,Nachtstrom Schallplatten,"12"", Promo",4.4,2008,1593897,Techno,2024-12-09 12:59:53,,,,Electronic,"Techno, Tech House",10,0,4.237178259408602
TTF005,Gavin Herlihy,Praia Brava,True To Form,"12""",4.4,2008,1203750,minimal,2024-12-09 06:14:37,,,,Electronic,"Tech House, Minimal",10,0,4.237178259408602
ALPH 0044-6,The Drill (2),The Drill,Alphabet City,"12""",4.26,2005,467172,Uncategorized,2024-12-10 11:31:53,,,,Electronic,"House, Electro",68,0,4.236247295436664
ASM001,Plaupez,Le Âme D'un Singe,Alma Soul Music,"12""",4.5,2009,1858802,tech house,2024-12-09 02:25:24,,,,Electronic,"House, Tech House",6,0,4.234613911290323
CCM028,Dog Tags,On Again,Coco Machete Records,"12""",4.5,2007,1115054,tech house,2024-12-08 02:26:56,,,,Electronic,"House, Tech House",6,0,4.234613911290323
LMZ006,King Roc,Flicker EP,Love Minus Zero,"12"", EP",4.5,2007,1031294,Uncategorized,2024-12-10 10:40:31,,,,Electronic,"House, Electro",6,0,4.234613911290323
pearl 008,Rubikon,Wonderblast EP,Pearldiver Records,"12"", EP",4.5,2007,1824713,Uncategorized,2024-12-10 11:17:56,,,,Electronic,Minimal,6,0,4.234613911290323
PLAYER015,Motor Mouth,"Horses, Cars & Stars",Players Paradise,"12""",4.5,2007,1141559,House,2024-12-09 04:49:40,,,,Electronic,"Deep House, Disco",6,0,4.234613911290323
MACRO M05,Stefan Goldmann,Radiant Grace,Macro,"12""",4.29,2008,1243836,minimal,2024-12-09 02:42:20,,,,Electronic,"House, Techno, Minimal",28,0,4.233625672043011
MINUS 42 LP,Marc Houle,Bay Of Figs,M_nus,"2x12"", Album",4.24,2006,720517,minimal,2024-12-09 08:13:31,,,,Electronic,"Techno, Minimal",190,0,4.231824893263758
VENMX 800R,Pier Bucci,Hay Consuelo,Vendetta Records,"12""",4.28,2007,1053208,tech house,2024-12-08 02:17:12,,,,Electronic,Tech House,32,0,4.231571265778402
mission 9,Daniel Steinberg,Pay For Me / I Like To Be,Style Rockets,"12""",4.25,2008,1198009,Uncategorized,2024-12-10 13:39:31,,,,Electronic,"Tech House, Minimal",84,0,4.231553859447004
ljj013,Frank Maurel,Galactico EP,Lajja Recordings,"12"", EP",5.0,2008,1574620,tech house,2024-12-09 02:46:52,,,,Electronic,Tech House,2,0,4.230767389112904
REGISTER 003,Holger Flinsch - Robin Jacobs,Wanderheim EP,Register,"12"", EP",5.0,2007,1026034,minimal,2024-12-08 04:51:33,,,,Electronic,"Techno, Minimal",2,0,4.230767389112904
DPU 1180,Gabriele D'Andrea,Lullaby,Reshape,"12""",5.0,2007,5772746,House,2024-12-09 06:11:26,,,,Electronic,House,2,0,4.230767389112904
soleado 008,Dario Núñez Feat. Ivan Pacheco,Level,Soleado Recordings,"12""",5.0,2007,1009030,House,2024-12-09 03:42:38,,,,Electronic,House,2,0,4.230767389112904
STP069,Ri.Lo.Ve,Hormonika,Stereoseven Plus,"12"", EP",5.0,2008,8000618,Uncategorized,2024-12-09 03:25:06,,,,Electronic,"Electro, House",2,0,4.230767389112904
Flame 004,Smurf & Perry,Lovin' You,Flamingo Discos,"12""",4.27,2001,135687,Uncategorized,2024-12-10 13:32:12,,,,Electronic,"House, Deep House, Disco",37,0,4.229064278937381
GSR055,Rainer Weichhold,Bamboo / Very Nice,Great Stuff Recordings,"12""",4.27,2007,1124003,minimal,2024-12-09 12:37:34,,,,Electronic,"Tech House, Minimal",37,0,4.229064278937381
CREDO XI,Alex Bau,Credo. The Repaints. I/V,Credo (2),"12""",4.33,2009,2074235,Uncategorized,2025-01-22 04:13:42,,,,Electronic,Techno,15,0,4.229044076751946
CREDO XI,Alex Bau,Credo. The Repaints. I/V,Credo (2),"12""",4.33,2009,2074235,Uncategorized,2025-01-22 04:16:15,,,,Electronic,Techno,15,0,4.229044076751946
MTR2346,Dyno,Automiak,Mantra Vibes,"12""",4.33,2008,1476541,Uncategorized,2025-01-22 04:34:51,,,,Electronic,"Techno, Minimal",15,0,4.229044076751946
OFF 17,Andre Crom & Martin Dawson,Gonna Be Alright EP,OFF Recordings,"12"", EP",4.33,2010,2302316,Uncategorized,2024-12-10 10:27:24,,,,Electronic,"House, Tech House",15,0,4.229044076751946
HW043,Chriss Ortega & Thomas Gold Feat. Nicole Tyler,Hypnotized,Houseworks,"12""",4.29,2006,610526,Uncategorized,2024-12-08 03:46:01,,,,Electronic,"House, Electro",24,0,4.227691532258065
SFD 0034,M.O.D.,Moonshine,Soulfuric Deep,"12""",4.29,2005,510510,Uncategorized,2024-12-07 08:43:49,,,,Electronic,"House, Latin",24,0,4.227691532258065
SFD 0034,M.O.D.,Moonshine,Soulfuric Deep,"12""",4.29,2005,510510,Uncategorized,2024-12-07 08:43:55,,,,Electronic,"House, Latin",24,0,4.227691532258065
GSR052,Gregor Tresher,A Thousand Nights Part 2,Great Stuff Recordings,"12""",4.26,2007,1041435,minimal,2024-12-09 03:09:22,,,,Electronic,"Minimal, Tech House",46,0,4.227537970430108
FR073,Kirk DeGiorgio Presents Esoterik,Starwaves EP,Freerange Records,"12"", EP",4.25,2006,692895,Techno,2024-12-09 04:45:23,,,,Electronic,"House, Techno, Tech House",65,0,4.227117445896284
WORK61,Dr. Kucho!,Lies To Yourself,Work Records,"12""",4.25,2004,310262,House,2024-12-07 09:26:34,,,,Electronic,House,64,0,4.226824079818031
WORK61,Dr. Kucho!,Lies To Yourself,Work Records,"12""",4.25,2004,310262,Uncategorized,2024-12-10 11:34:03,,,,Electronic,House,64,0,4.226824079818031
BluFin 10,John Acquaviva & Tobias Lützenkirchen,No Fear,Blu Fin,"12""",4.3,2006,687832,tech house,2024-12-08 10:33:08,,,,Electronic,"Electro, Tech House",20,0,4.226243477229602
MSHIP014,Catz N' Dogz,Stars Of Zoo - Part 4: Sunset In The East,Mothership,"12""",4.3,2008,1572172,minimal,2024-12-07 09:49:08,,,,Electronic,"Tech House, Minimal",20,0,4.226243477229602
FUMALAB 04,Felipe Valenzuela,Alicante / Dive,Fumalab,"12""",4.36,2009,1642267,minimal,2024-12-07 10:45:08,,,,Electronic,"Minimal, Tech House",11,0,4.226091129032258
HADSH074,Jab (4),Drunkenstein / Lala,Hadshot Haheizar,"12""",4.36,2007,1009228,minimal,2024-12-08 03:35:43,,,,Electronic,"Electro, Minimal",11,0,4.226091129032258
Playmobil 008,DJ Dandi & Ugo,Playmobil 08 EP,Playmobil Series,"12"", EP",4.36,2009,1810936,minimal,2024-12-09 02:47:33,,,,Electronic,"Techno, Minimal",11,0,4.226091129032258
fuma 011,Autotune,Psycho Revolution EP,Fumakilla,"12"", EP",4.23,2004,230593,tech house,2024-12-07 10:57:54,,,,Electronic,"Electro, Tech House",239,0,4.223961574015046
FD 002,Armin Prayd,I Need Your Lovin 2008,Flashdance,"10""",4.43,2008,1585484,Uncategorized,2024-12-10 12:38:41,,,,Electronic,"Progressive House, Tech House, Electro House",7,0,4.223918010752688
LEC 018,Alex Dias,Materia,Le Club (2),"12""",4.43,2009,1682884,Uncategorized,2025-01-22 04:18:04,,,,Electronic,"Techno, Minimal",7,0,4.223918010752688
found-17,Someone Else (2),Pen Caps Remixed,Foundsound,"12""",4.28,2007,1131901,minimal,2024-12-09 03:59:33,,,,Electronic,"Techno, Minimal",25,0,4.222878928866832
SDLCRIM 001,Eyerer & Chopstick,Haunting,"Session Deluxe, Criminal Records (2)","12""",4.26,2007,886764,minimal,2024-12-08 03:56:42,,,,Electronic,"House, Electro House, Minimal",38,0,4.22254381203474
"MOTIV#4, MOTIV 04",Buck (5),Portyeza,"Motivbank, Motivbank","12""",4.29,2009,1658815,minimal,2024-12-07 09:41:19,,,,Electronic,"Minimal, Tech House",21,0,4.2223508064516135
FASSADE000,Marius Berger / Piet Bender,Lift Off EP,Fassade Records,"12"", EP",4.67,2008,1317385,minimal,2024-12-08 04:07:22,,,,Electronic,"Techno, Minimal, Tech House",3,0,4.217781072106262
MREC 012,iiO,Kiss You,Made Records,"12"", W/Lbl",4.67,0,1050915,progressive house,2024-12-09 02:54:13,,,,Electronic,"Progressive House, House",3,0,4.217781072106262
PN006,P.C.B.,OK Radio,Pacha Recordings,"12""",4.67,2007,1072939,tech house,2024-12-08 08:00:59,,,,Electronic,"Electro, Tech House",3,0,4.217781072106262
TNR 019,Raul Rincon,Indigenous People,Tenor Recordings,"12""",4.67,2006,799583,Uncategorized,2024-12-08 02:30:16,,,,Electronic,"House, Tribal House",3,0,4.217781072106262
VENMX 486 N,Southern Divide Feat. Azhar,Ate O Amanhecer (Until The Dawn),Vendetta Records,"12""",4.67,2003,1669339,Uncategorized,2024-12-10 10:33:33,,,,Electronic,"House, Latin, Tribal House",3,0,4.217781072106262
VENMX 628 (N),Syke 'N' Sugarstarr,Can't Stop,Vendetta Records,"12""",4.67,2005,470647,Uncategorized,2024-12-09 03:24:23,,,,Electronic,House,3,0,4.217781072106262
e10100001,Chris Zippel,Genuine Horizon Remixes Part 1,Elektrolux,"12""",4.33,2008,1360437,Uncategorized,2024-12-10 13:40:04,,,,Electronic,"Techno, Dub Techno, Electro",12,0,4.217395316377171
CON-548-EP,Mark Knight / Fedde Le Grand,Susan / The Reason / Just Trippin,"Contraseña Records, Toolroom Records","12"", EP",4.38,2007,933470,Uncategorized,2024-12-09 04:08:32,,,,Electronic,"House, Electro House",8,0,4.215103555718475
Damm001,Josh (16),Sundance / 19055,Damm Records,"12""",4.38,2009,1655862,minimal,2024-12-09 02:32:56,,,,Electronic,"Tech House, Minimal",8,0,4.215103555718475
FND002,Brwn Shoes,Zeugma / Tigers Don't Sleep,Fondation Records,"12""",4.38,2007,1061180,Uncategorized,2024-12-10 13:34:38,,,,Electronic,"Minimal, Tech House",8,0,4.215103555718475
INITIAL 021,Burp & Pout,Afraid Of You,Initial Cuts,"12""",4.38,2007,1158253,minimal,2024-12-09 12:35:09,,,,Electronic,"Minimal, Tech House",8,0,4.215103555718475
KK029,Blood & Tears,Blood On The Dancefloor,KarateKlub,"12""",4.38,2008,1573741,minimal,2024-12-07 09:08:27,,,,Electronic,"Tech House, Minimal",8,0,4.215103555718475
PLAT008,Various,08.#08,Platform B Recordings,"12""",4.38,2008,1987370,Techno,2024-12-08 05:06:38,,,,Electronic,"Techno, Tech House",8,0,4.215103555718475
V2N002,Taster Peter,Metro Sexual,V2 Nightworker Records,"12"", Whi",4.38,2009,1912847,tech house,2024-12-09 12:34:35,,,,Electronic,Tech House,8,0,4.215103555718475
GG-1072,Hott 22 aka Chris Malinchak & Greg Bahary,Feel So Good,Gossip Records,"12""",4.27,2006,704955,Uncategorized,2024-12-10 11:15:36,,,,Electronic,House,22,0,4.212007728494624
Nero 013,Jerry Ropero & Michael Simon Feat. Kathy Brown,Ocean Drums,Nero Recordings,"12"", Single",4.31,2006,852994,Uncategorized,2024-12-08 11:24:03,,,,Electronic,"House, Electro",13,0,4.211936230585424
"weave-30, weave30",Steve Parker (5),Mexilhao,"Weave Music, Weave Music","12""",4.31,2009,2051552,Techno,2024-12-07 09:07:07,,,,Electronic,Techno,13,0,4.211936230585424
SUB 63,CZR & ITO,Bringin' The Funk / Feel The Pressure,Subliminal,"2x12""",4.23,2001,203412,Uncategorized,2024-12-10 13:06:57,,,,Electronic,House,69,0,4.211593713563933
HW028,Jerry Ropero & Denis The Menace Pres. Fuck U,Fuck U,Houseworks,"12""",4.28,2005,418738,Uncategorized,2024-12-10 11:11:52,,,,Electronic,House,18,0,4.210383694556452
"send081, sender 081",Benno Blome & Tigerskin,Sheila,"Sender Records, Sender Records","12""",4.28,2009,1640228,Uncategorized,2024-12-10 11:32:53,,,,Electronic,"Tech House, Minimal",18,0,4.210383694556452
KIDD 055,Harry Axt,Starlights,Kiddaz.fm,"12""",4.24,2007,1010192,minimal,2024-12-08 03:37:32,,,,Electronic,"Techno, Minimal",42,0,4.210219254032259
"TURBO 043, turbo 043",ZZT,Lower State Of Consciousness,"Turbo, Turbo","12""",4.22,2007,1036286,Uncategorized,2025-01-22 04:03:13,,,,Electronic,"House, Techno, Electro, Tech House",122,0,4.209796163425047
"TURBO 043, turbo 043",ZZT,Lower State Of Consciousness,"Turbo, Turbo","12""",4.22,2007,1036286,Uncategorized,2025-01-22 04:08:17,,,,Electronic,"House, Techno, Electro, Tech House",122,0,4.209796163425047
MBF 12032,Baggy Bukaddor & Tim Fishbeck,Nachtexpress / Long Distance Call,My Best Friend,"12""",4.25,2007,996964,Uncategorized,2024-12-10 10:46:38,,,,Electronic,Minimal Techno,28,0,4.206959005376344
TRT16,Noir,My MTV,Toolroom Trax,"12""",4.25,2006,634349,Uncategorized,2024-12-09 13:20:42,,,,Electronic,House,28,0,4.206959005376344
COS-012,DJ Pow-Low,Razzia,Color Of Sound Records,"12""",4.29,2006,698825,Uncategorized,2024-12-10 10:24:07,,,,Electronic,"Progressive House, Tribal House",14,0,4.205438508064517
"COR12""059",Deepgroove & Jamie Anderson,Turbo,Cocoon Recordings,"12""",4.24,2009,1743675,minimal,2024-12-08 10:52:32,,,,Electronic,"Techno, Minimal",34,0,4.205255796370968
luf002,Oeler,Götterfunken EP,Lust und Freu.de Musik,"12"", EP",4.5,2010,2169767,Uncategorized,2025-01-22 04:11:53,,,,Electronic,"House, Techno, Tech House, Minimal",4,0,4.205126568100359
luf002,Oeler,Götterfunken EP,Lust und Freu.de Musik,"12"", EP",4.5,2010,2169767,Uncategorized,2025-01-22 04:16:31,,,,Electronic,"House, Techno, Tech House, Minimal",4,0,4.205126568100359
107842,Unknown Artist,Laila / Music Is The Answer,Not On Label,"12"", Unofficial",4.5,2010,3801384,House,2024-12-08 06:05:20,,,,Electronic,House,4,0,4.205126568100359
RISE 189,Vanity Case,In The End,Rise,"12""",4.5,2002,567898,Uncategorized,2024-12-07 08:52:50,,,,Electronic,House,4,0,4.205126568100359
STP087,Les Schmitz & Oliver Schmitz,Degeneration,Stereoseven Plus,"12""",4.5,2009,1759595,progressive house,2024-12-09 02:50:48,,,,Electronic,Progressive House,4,0,4.205126568100359
VENMX 795 (N),De Souza Feat. Shena,Guilty,Vendetta Records,"12""",4.5,2007,939683,Uncategorized,2024-12-10 13:37:50,,,,Electronic,House,4,0,4.205126568100359
M_NUS ORANGE,Richie Hawtin,Minus Orange,M_nus,"12"", Ora",4.21,1999,2203371,Techno,2024-12-09 06:02:38,,,,Electronic,Techno,169,0,4.203181848228451
ANJA012,Caie!,Career Changer,Anny-Jack Recordings,"12""",4.33,2007,981101,minimal,2024-12-09 03:47:39,,,,Electronic,"Minimal, Tech House",9,0,4.202707748948107
BF068,D-Formation,Clever Scape,BeatFreak Recordings,"12""",4.33,2006,737170,Uncategorized,2024-12-10 10:59:41,,,,Electronic,Progressive House,9,0,4.202707748948107
BluFin 13,Q-Ram,Break It Down,Blu Fin,"12""",4.33,2006,768956,Uncategorized,2024-12-09 06:17:30,,,,Electronic,"House, Electro",9,0,4.202707748948107
MMXA 0803 EP,Skinnerbox (2) & Elle P.,The PV Sessions,Doxa Records,"12""",4.33,2008,1459401,Uncategorized,2024-12-10 10:45:29,,,,Electronic,"House, Techno, Minimal",9,0,4.202707748948107
DAY 5,N.V,Izipho EP,Future Days,"12"", EP",4.33,2007,1148351,Uncategorized,2024-12-10 10:54:16,,,,Electronic,"Techno, Tech House, Minimal",9,0,4.202707748948107
TVR004,Rai,4 A.M.,Tribal Vision Records,"12""",4.33,2006,993538,progressive house,2024-12-09 04:41:11,,,,Electronic,"Progressive House, Progressive Trance",9,0,4.202707748948107
VENMX 614 (N),Spin (7),2 Nite,Vendetta Records,"12""",4.33,2005,482704,Uncategorized,2024-12-07 10:09:38,,,,Electronic,House,9,0,4.202707748948107
CEN006,Anthea & Celler,Retroceso EP,Cécille Numbers,"12"", EP",4.22,2009,1798127,minimal,2024-12-07 09:45:55,,,,Electronic,"Minimal, Tech House",64,0,4.202208695202646
PLATZHIRSCH 12,Gabriel Ananda,Doppelwhipper Rmxe,Platzhirsch Schallplatten,"12""",4.22,2007,1006711,minimal,2024-12-09 13:05:01,,,,Electronic,"Techno, Tech House, Minimal",63,0,4.201977639296187
DCI-001,Sharam (2),Texi,DCI (2),"12"", S/Sided",4.23,2008,1414332,Uncategorized,2024-12-10 10:47:43,,,,Electronic,"Tech House, Minimal",39,0,4.201175060864274
múpa003,Damián Schwartz,Cosasquesecaen (Remixes),Múpa,"12""",4.23,2006,862020,Uncategorized,2024-12-10 10:51:57,,,,Electronic,"Techno, Minimal",39,0,4.201175060864274
múpa003,Damián Schwartz,Cosasquesecaen (Remixes),Múpa,"12""",4.23,2006,862020,Uncategorized,2024-12-10 10:52:04,,,,Electronic,"Techno, Minimal",39,0,4.201175060864274
MTR 2235,Peter Katafalk,Pacific 202,Mantra Vibes,"12""",4.26,2005,515585,progressive house,2024-12-09 08:35:20,,,,Electronic,"Progressive House, Electro",19,0,4.200978128054741
Highgrade 039,Format: B,Bronson Road,Highgrade Records,"12"", Dua",4.22,2007,969956,minimal,2024-12-07 10:56:54,,,,Electronic,"Minimal, Tech House",58,0,4.200726086469533
electribe 020,Marc O'Tool,X.L.R.8.R. EP,Electribe,"12"", EP",4.23,2005,469696,Uncategorized,2025-01-22 06:47:20,,,,Electronic,"Tech House, Electro",35,0,4.198822004608296
"LL 08, LL08",Monoroom,Memory Inc. Part II,"Livelarge Recordings, Livelarge Recordings","12""",4.23,2006,832250,minimal,2024-12-08 03:55:04,,,,Electronic,"Minimal, Tech House",35,0,4.198822004608296
Giant 26-6,H-Man,Mimi,Giant Wheel,"12""",4.22,2005,496857,tech house,2024-12-08 03:34:57,,,,Electronic,Tech House,51,0,4.198650434243176
mau5015,Deadmau5,Bot / Some Kind Of Blue,Mau5trap Recordings,"12""",4.22,2009,1687404,progressive house,2024-12-09 06:21:34,,,,Electronic,"Electro House, Progressive House",50,0,4.1983168472782255
VENMX 966 N,Various,Ibiza Summer 08' EP2,Vendetta Records,"12"", EP",4.27,2008,1374977,Uncategorized,2024-12-10 10:16:44,,,,Electronic,House,15,0,4.1980095939933255
AT037,Dino Da Cassino,Don't You (Forget About Me),Audio Therapy,"12""",4.3,2007,1250103,tech house,2024-12-09 06:14:57,,,,Electronic,Tech House,10,0,4.195511592741936
12C2086,Murk Pres. Liberty City,Some Lovin',CR2 Records,"12""",4.3,2009,1734367,House,2024-12-09 08:28:45,,,,Electronic,House,10,0,4.195511592741936
electribe 015,Sven Palzer,Every Single Beat / Do It!,Electribe,"12""",4.3,2004,317404,progressive house,2024-12-08 11:30:17,,,,Electronic,Progressive House,10,0,4.195511592741936
Flex Schallplatten 002,caTekk,Funny Little Clouds EP,Flex Schallplatten,"12"", EP",4.3,2007,1185927,minimal,2024-12-09 02:41:26,,,,Electronic,"Techno, Minimal, Tech House",10,0,4.195511592741936
SRM05,Ascion & D. Carbone,Bad Bass EP,Smallroom Music,"12"", EP",4.3,2009,1982929,Uncategorized,2024-12-10 11:17:14,,,,Electronic,"Techno, Minimal",10,0,4.195511592741936
SPEC0906,André Sobota,Black Pearl,Spectrum Recordings (2),"12""",4.3,2009,1866728,tech house,2024-12-08 10:46:32,,,,Electronic,Tech House,10,0,4.195511592741936
STP 060,Kanio,Put That In Your Pipe And Smoke It,Stereoseven Plus,"12""",4.3,2008,2487336,Techno,2024-12-08 02:47:17,,,,Electronic,"Techno, Tech House",10,0,4.195511592741936
I220RMX001,David Keno,Rmx EP 1,i220,"12"", EP",4.4,2007,978093,minimal,2024-12-08 04:52:16,,,,Electronic,"Minimal, Tech House",5,0,4.194330432937182
KITT0015,Various,It Began In Africa - Limited Edition Vol. 2,Kittball Records,"12"", Ltd",4.4,2009,2073884,Uncategorized,2024-12-10 12:37:22,,,,Electronic,"Techno, Tech House",5,0,4.194330432937182
Monoliza 002,Evoorg,Rock DJ,Monoliza Recordings,"12""",4.4,2007,895907,Uncategorized,2025-01-22 05:51:37,,,,Electronic,"House, Electro",5,0,4.194330432937182
RODEOFUNK 006,Rodeofunk,Vol. 6,Not On Label,"12"", TP, Unofficial",4.4,2006,1709283,House,2024-12-08 10:35:15,,,,Electronic,House,5,0,4.194330432937182
QOK002,Armando Magni vs. Daniel Puž & Daniele Arciuli,Fatal Day,QOKI Record,"12""",4.4,2007,1112038,progressive house,2024-12-09 04:38:53,,,,Electronic,"Progressive House, Tech House",5,0,4.194330432937182
STP 033,Andrea Bertolini,The Unexpected E.P. #2,Stereoseven Plus,"12"", EP",4.4,2007,1084779,Uncategorized,2025-01-22 04:38:40,,,,Electronic,House,5,0,4.194330432937182
SUPER DJ 3049R,Supermode,Tell Me Why (The Mixes),Superstar Recordings,"12""",4.21,2006,684326,House,2024-12-07 08:56:15,,,,Electronic,House,57,0,4.192426453884598
SUPER DJ 3049R,Supermode,Tell Me Why (The Mixes),Superstar Recordings,"12""",4.21,2006,684326,House,2024-12-09 08:25:24,,,,Electronic,House,57,0,4.192426453884598
TRAPEZ ltd 67,Mihalis Safras,Rainforest,Trapez Ltd,"12""",4.24,2008,1408707,minimal,2024-12-09 13:04:09,,,,Electronic,"Techno, Minimal, Tech House",21,0,4.192350806451613
DATA119T,Till West & DJ Delicious,Same Man,Data Records,"12""",4.21,2006,718318,tech house,2024-12-09 04:42:36,,,,Electronic,"House, Electro, Electro House, Tech House",56,0,4.192175403225806
AFUXTRA 1,Thomas P. Heckmann / Butch,Silverscreen / Mushroom Man,AFUXTRA,"12""",4.22,2009,1711720,Uncategorized,2024-12-10 11:19:54,,,,Electronic,"Techno, Minimal",32,0,4.189832135343619
VENMX 735 (N),Various,Electrohouse Vinyl/Cuatro,Vendetta Records,"12"", Comp",4.25,2006,739291,tech house,2024-12-07 10:02:18,,,,Electronic,"House, Electro, Tech House",16,0,4.189742607526882
