Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes,Genre,Style,Votes,Comments,Weighted Rating
BCBTEC1,Fairmont,Gazebo (The Anthony Rother Remix),BigCityBeats,"12""",4.45,2006,790282,Uncategorized,2025-01-22 04:10:39,,,,Electronic,"Techno, Electro, Minimal",124,0,4.416610711781207
BCBTEC1,Fairmont,Gazebo (The Anthony Rother Remix),BigCityBeats,"12""",4.45,2006,790282,Uncategorized,2025-01-22 04:16:39,,,,Electronic,"Techno, Electro, Minimal",124,0,4.416610711781207
NST010,Metalogic,Cabin Pressure Remix EP,Nachtstrom Schallplatten,"12"", EP",4.71,2009,1773245,Techno,2024-12-08 11:13:49,,,,Electronic,"Techno, Electro",14,0,4.415438508064517
RUSH 005,Jon Cutler & Matthias Heilbronn,640,Rush Recordings,"12""",4.71,2007,897355,Uncategorized,2024-12-08 03:59:40,,,,Electronic,House,14,0,4.415438508064517
SUPA 004,Ballroom,Piepshow,Superacht Musik,"12""",4.71,2008,1361117,Uncategorized,2024-12-10 11:40:56,,,,Electronic,"Progressive House, Tech House",14,0,4.415438508064517
KOM EX 34,Oxia,Speicher 34,Kompakt Extra,"12""",4.42,2006,648476,Uncategorized,2024-12-10 13:48:34,,,,Electronic,"Techno, Tech House",814,0,4.414942365007013
WAX 005,Gorillaz,Feel Good Inc. (Stanton Warriors Remix),Wax (2),"12"", S/Sided, Unofficial",4.47,2005,532310,Uncategorized,2024-12-07 10:04:52,,,,Electronic,"Breakbeat, Electro, Breaks",70,0,4.411812836021505
SPC-39,Audion,Mouth To Mouth,Spectral Sound,"12""",4.42,2006,780558,minimal,2024-12-09 13:15:42,,,,Electronic,"Techno, Minimal Techno",476,0,4.411453629032258
YR134,D-Formation & David Ferrero,What U Want,Yoshitoshi Recordings,"2x12""",4.65,2007,1178426,minimal,2024-12-08 11:21:25,,,,Electronic,"Progressive House, Minimal",17,0,4.411041233090532
CDR 003,David A. Stewart,Lily Was Here / Now She's Gone,CDR Records,"12"", Unofficial, W/Lbl",4.58,2005,874234,progressive house,2024-12-09 02:31:39,,,,Electronic,"House, Progressive Trance",24,0,4.410849426994907
VA 025,Nico Purman,Euphrasia EP,Vakant,"12"", EP",4.55,2009,1617426,Uncategorized,2024-12-10 12:12:00,,,,Electronic,"Techno, Minimal",29,0,4.410285540135034
PFR 01,Steve Bug,Double Action (Everything Is At Stake),Poker Flat Recordings,"12""",4.42,1999,6688,minimal,2024-12-07 09:23:02,,,,Electronic,"Techno, Minimal, Downtempo",411,0,4.410146537001897
method036,Insaneman,We Are U,Method Records (2),"12""",4.67,2007,895483,progressive house,2024-12-07 10:30:16,,,,Electronic,Progressive House,15,0,4.404906145717463
VENMX 891 (N),Butch,On The Line (Oxia Remixes),Vendetta Records,"12""",4.8,2007,1160099,Uncategorized,2024-12-09 13:24:35,,,,Electronic,"Tech House, Minimal",10,0,4.403844926075269
WBA006,Berovic & Leicher,Crazy Souls @ Strange Days,wba,"12""",4.8,2007,888324,Uncategorized,2024-12-10 10:53:33,,,,Electronic,Minimal Techno,10,0,4.403844926075269
54 1643701,Kraftwerk,Computer World,EMI,"LP, Album, RE",4.51,1989,939277,Uncategorized,2024-12-10 13:28:06,,,,Electronic,"Synth-pop, Electro",37,0,4.403181925996205
TRT42V,Workidz,Washmachine EP,Toolroom Trax,"12"", EP",4.57,2008,1239144,Uncategorized,2024-12-10 11:48:41,,,,Electronic,Electro House,23,0,4.400061573670445
EINMALEINS 016,Agnès,Is She He EP,Einmaleins Musik,"12"", EP",4.49,2006,801590,minimal,2024-12-08 11:21:58,,,,Electronic,"Techno, Minimal",43,0,4.399338214487833
QRZ003,Paul Ritch,Split The Line,Quartz Music,"12"", S/Sided",4.49,2009,1742201,minimal,2024-12-09 06:22:11,,,,Electronic,"Techno, Minimal",43,0,4.399338214487833
"COR12""034",Guy Gerber,Belly Dancing,Cocoon Recordings,"12""",4.43,2007,953965,Uncategorized,2024-12-10 11:58:52,,,,Electronic,"Tech House, Progressive House",117,0,4.396963955922186
LGT5146,Freemasons Feat. Hazel Fernandez,If,Legato Records,"12"", Single",4.88,2009,1641607,House,2024-12-08 02:14:56,,,,Electronic,House,8,0,4.396921737536657
MTR2345,Blatta & Inesha Featuring Ask,Blow Up,Mantra Vibes,"12""",4.88,2008,1417574,Uncategorized,2024-12-09 02:43:27,,,,Electronic,Electro,8,0,4.396921737536657
REKIDS 027,Radio Slave Featuring Danton Eeprom,Grindhouse (Remixes),REKIDS,"12""",4.52,2008,5963699,minimal,2024-12-08 10:39:40,,,,Electronic,"Electro, Minimal",31,0,4.395828405017921
AFULTD 10,Thomas P. Heckmann,Silverscreen,AFU Limited,"12"", S/Sided",4.44,2007,1090757,minimal,2024-12-07 10:58:46,,,,Electronic,"Techno, Minimal",82,0,4.393461231518818
GP 018,Jan Driver,Kardamoon,Grand Petrol Recordings,"12""",4.46,2007,1041167,Uncategorized,2025-01-22 05:48:06,,,,Electronic,"Techno, Minimal, Tech House",57,0,4.393130679236711
SOMA 216,Slam,Azure,Soma Quality Recordings,"12""",4.45,2007,943965,progressive house,2024-12-09 08:33:00,,,,Electronic,"Progressive House, Tech House",67,0,4.39311454599761
ALC024,Daniele Papini,Pixel / Church Of Nonsense,Alchemy,"12""",4.47,2008,1362483,minimal,2024-12-09 02:21:30,,,,Electronic,"Techno, Minimal",49,0,4.39241711469534
ACKER RECORDS 04-2,Kombinat 100,Wege Übers Land - Pfad Zwei,Acker Records,"12""",4.63,2008,1187668,Uncategorized,2024-12-10 11:56:22,,,,Electronic,"Tech House, Minimal, Experimental",16,0,4.3924092741935485
DC65,Slam,Maffaking / Last Sonic Approach,Drumcode,"12""",4.5,2010,2294249,Uncategorized,2024-12-10 11:43:47,,,,Electronic,Techno,34,0,4.389422463037635
HK43P1,Various,Hed Kandi DJ Sampler Volume 2,Hed Kandi,"12"", Promo",4.73,2007,1368485,Uncategorized,2024-12-10 10:56:05,,,,Electronic,House,11,0,4.388891129032259
